City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
263,Salalah,87.8,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
264,Lethem,75.09,overcast clouds,3.3803,-59.7968,Savannah Inn
270,Sakakah,86.0,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
271,Meulaboh,86.32,overcast clouds,4.1363,96.1285,Kost Pria
277,Antalaha,81.03,broken clouds,-14.9003,50.2788,Hotel Vitasoa
288,Ixtapa,75.99,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
294,Mahebourg,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
296,Sibolga,85.82,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
297,Luquillo,78.8,broken clouds,18.3725,-65.7166,Yunque Mar Beach Hotel
298,Pandan,81.3,broken clouds,14.0453,124.1694,Bonifacio Lodge
300,Souillac,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
307,Kavaratti,84.61,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
320,Sarangani,84.09,overcast clouds,5.4033,125.4636,Ballistic Islet
325,Baganga,81.03,light rain,7.5739,126.56,Baganga Rgd Inn
332,Bilma,90.0,clear sky,18.6853,12.9164,Expeditions Ténére voyages
333,Guanare,77.0,overcast clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
337,Yeppoon,78.8,clear sky,-23.1333,150.7333,Villa Mar Colina
339,Saint-Georges,78.8,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
340,Noumea,78.01,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
344,Ambilobe,84.88,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
345,Esperance,78.8,overcast clouds,-33.8667,121.9,Hospitality Esperance
348,Boa Vista,78.8,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
355,Harper,77.2,overcast clouds,4.375,-7.7169,Screensaver
359,Loandjili,77.0,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
368,La Herradura,78.01,broken clouds,8.8522,-79.8072,Casa de Máximo
381,Hobyo,86.14,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
386,Matara,87.04,few clouds,5.9485,80.5353,Amaloh Boutique Resort
387,Bengkulu,83.55,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
393,Carnarvon,86.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
394,Damaturu,88.88,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
406,Beira,78.8,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
407,Yenagoa,81.73,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
408,Komsomolskiy,77.0,clear sky,40.4272,71.7189,Ikathouse
410,Bandarbeyla,85.5,scattered clouds,9.4942,50.8122,JABIR HOTEL
412,Jiaocheng,75.78,overcast clouds,24.6774,116.1389,Changtan Tourism Resort
413,Ranong,86.0,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
422,Mount Isa,89.6,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
424,Pangai,80.6,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
426,Palu,86.43,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
427,Bombay,89.6,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
