City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Porto Novo,6.4965,2.6036,82.4,83,40,6.91,scattered clouds
135,Dikson,73.5069,80.5464,21.58,93,100,23.89,light snow
136,Urumqi,43.801,87.6005,57.2,15,0,2.24,clear sky
137,Khatanga,71.9667,102.5,17.58,86,99,17.05,overcast clouds
138,Ylivieska,64.0833,24.55,32.0,93,100,4.0,overcast clouds
139,Shaowu,27.3409,117.4831,72.01,74,97,2.57,light rain
140,Upernavik,72.7868,-56.1549,28.15,73,58,3.36,broken clouds
141,Goderich,43.7501,-81.7165,24.8,86,35,4.61,scattered clouds
142,San Policarpo,12.1791,125.5072,82.02,65,18,11.48,few clouds
143,Severo-Kurilsk,50.6789,156.125,31.3,94,100,15.88,light snow
144,Nouakchott,18.0858,-15.9785,64.4,77,0,13.8,clear sky
145,Batagay,67.6333,134.6333,33.22,99,100,6.04,overcast clouds
146,Sobolevo,54.4299,31.8996,37.33,65,15,8.43,few clouds
147,Bambous Virieux,-20.3428,57.7575,78.8,83,75,14.97,light rain
148,Pangnirtung,66.1451,-65.7125,28.94,80,99,6.13,overcast clouds
149,Conchas,-23.0153,-48.0106,67.75,56,89,1.68,overcast clouds
150,Aljezur,37.3191,-8.8033,58.96,89,86,9.6,overcast clouds
151,Ilulissat,69.2167,-51.1,48.2,43,75,18.41,broken clouds
152,Nikolskoye,59.7035,30.7861,39.99,93,90,11.18,overcast clouds
153,Manggar,-2.8833,108.2667,86.32,62,24,9.84,few clouds
154,Lewisburg,35.4492,-86.7889,52.0,100,1,3.24,clear sky
155,Olafsvik,64.8945,-23.7142,39.47,85,22,11.32,few clouds
156,Canaries,28.0,-15.5,64.0,72,40,4.61,scattered clouds
157,Te Anau,-45.4167,167.7167,41.65,83,80,4.68,broken clouds
158,Benghazi,32.1167,20.0667,62.19,76,1,7.16,clear sky
159,Moose Factory,51.2585,-80.6094,17.6,79,1,2.3,clear sky
160,Kongolo,-5.3833,27.0,74.21,87,94,1.05,overcast clouds
161,Margate,51.3813,1.3862,44.01,66,12,5.99,few clouds
162,College,64.8569,-147.8028,53.6,30,20,3.44,few clouds
163,Asau,46.4333,26.4,37.99,65,84,0.85,broken clouds
164,Ritchie,-29.038,24.6028,62.6,39,0,6.53,clear sky
165,Ankazobe,-18.3167,47.1167,69.8,68,75,9.22,broken clouds
166,Gat,31.61,34.7642,68.0,34,39,3.0,scattered clouds
167,Airai,-8.9266,125.4092,73.15,44,32,3.06,scattered clouds
168,Lircay,-12.9896,-74.7205,47.34,87,77,1.92,broken clouds
169,Giyani,-23.3025,30.7187,67.19,65,0,3.13,clear sky
170,Katsuura,35.1333,140.3,66.99,22,20,16.11,few clouds
171,Singaraja,-8.112,115.0882,86.31,63,4,2.8,clear sky
172,Adre,13.4667,22.2,82.11,27,70,6.06,broken clouds
173,Posse,-14.0931,-46.3694,71.02,78,100,2.89,overcast clouds
174,Iqaluit,63.7506,-68.5145,32.0,93,90,4.52,light snow
175,Riachao Das Neves,-11.7461,-44.91,68.4,93,96,0.67,overcast clouds
176,Panuco,22.05,-98.1667,75.99,97,100,5.01,overcast clouds
177,Trincomalee,8.5711,81.2335,83.97,70,54,11.16,broken clouds
178,Cidreira,-30.1811,-50.2056,61.21,73,37,14.32,scattered clouds
179,Ribeira Grande,38.5167,-28.7,57.2,77,20,9.22,few clouds
180,Pampa,35.5362,-100.9599,71.6,26,1,17.27,clear sky
181,Trairi,-3.2778,-39.2689,74.28,84,13,5.93,few clouds
182,Shubarkuduk,49.1447,56.4872,56.26,65,100,15.12,overcast clouds
183,Torbay,47.6666,-52.7314,42.8,56,40,18.41,scattered clouds
184,Fairbanks,64.8378,-147.7164,53.6,40,1,3.15,clear sky
185,Adrar,20.5022,-10.0711,74.34,23,36,9.33,scattered clouds
186,Hamilton,39.1834,-84.5333,46.4,87,1,2.95,clear sky
187,Lavrentiya,65.5833,-171.0,29.41,92,95,2.71,overcast clouds
188,Port Augusta,-32.5,137.7667,69.8,60,2,10.36,clear sky
189,Makrana,27.05,74.7167,98.37,6,0,6.04,clear sky
190,Vilcun,-38.65,-72.2333,50.0,100,90,2.3,overcast clouds
191,Hovd,48.0056,91.6419,39.94,16,5,5.01,clear sky
192,Xining,36.6167,101.7667,52.16,37,69,5.86,broken clouds
193,Samarai,-10.6167,150.6667,84.78,71,79,14.63,broken clouds
194,Wanning,18.8003,110.3967,84.27,70,96,12.26,moderate rain
195,San Patricio,28.017,-97.5169,71.6,88,90,9.22,overcast clouds
196,Bowen,-20.0167,148.2333,75.2,64,90,16.11,overcast clouds
197,Clyde River,70.4692,-68.5914,23.0,100,90,11.5,overcast clouds
198,Mersing,2.4312,103.8405,87.8,79,40,8.05,scattered clouds
199,Kothi,24.75,80.7833,100.11,7,27,9.42,scattered clouds
200,Traverse City,44.7631,-85.6206,35.6,60,90,4.61,overcast clouds
201,Parvatsar,26.8833,74.7667,98.2,6,0,5.77,clear sky
202,The Valley,18.217,-63.0578,78.8,73,40,8.05,scattered clouds
203,Hithadhoo,-0.6,73.0833,82.87,67,66,4.0,broken clouds
204,Alyangula,-13.8483,136.4192,77.0,100,75,3.44,moderate rain
205,Aklavik,68.2191,-135.0107,12.2,79,96,10.36,overcast clouds
206,Anadyr,64.75,177.4833,26.6,100,75,6.71,fog
207,Arraial Do Cabo,-22.9661,-42.0278,73.04,89,49,6.06,scattered clouds
208,Port Hedland,-20.3167,118.5667,89.6,29,0,13.8,clear sky
209,Lodwar,3.1191,35.5973,83.57,52,100,3.44,overcast clouds
210,Dorado,18.4588,-66.2677,73.0,86,10,4.38,clear sky
211,Maryville,35.7565,-83.9705,48.2,87,1,3.44,clear sky
212,Chipinge,-20.1883,32.6236,71.76,40,0,1.5,clear sky
213,Chapais,49.7834,-74.8492,21.2,93,90,14.97,overcast clouds
214,San Quintin,30.4833,-115.95,56.61,86,28,11.52,scattered clouds
215,Oranjemund,-28.55,16.4333,63.36,80,99,6.33,overcast clouds
216,Zagare,56.3592,23.25,35.6,80,90,11.5,overcast clouds
217,Buin,-33.7333,-70.75,64.99,81,0,2.98,clear sky
218,Klaksvik,62.2266,-6.589,44.6,87,100,11.5,overcast clouds
219,Mount Gambier,-37.8333,140.7667,60.8,67,75,10.36,broken clouds
220,Yumen,40.2833,97.2,56.46,10,6,23.44,clear sky
221,Huilong,31.8111,121.655,73.99,69,4,5.01,clear sky
222,Mancheral,18.8667,79.4333,103.08,20,14,4.72,few clouds
223,Pevek,69.7008,170.3133,26.4,82,99,5.77,overcast clouds
224,Codrington,-38.2667,141.9667,59.68,69,100,11.32,overcast clouds
225,Ust-Ilimsk,58.0006,102.6619,40.32,60,97,13.27,overcast clouds
226,Karratha,-20.7377,116.8463,87.98,21,0,13.91,clear sky
227,General Roca,-39.0333,-67.5833,53.6,76,0,7.29,clear sky
228,Kununurra,-15.7667,128.7333,95.0,34,40,12.66,scattered clouds
229,Podosinovets,60.2776,47.0659,35.87,97,100,2.98,overcast clouds
