City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,Severo-Kurilsk,50.6789,156.125,31.69,96,100,15.37,RU,2021-04-26 04:46:36
85,Warri,5.5167,5.75,78.58,88,91,3.31,NG,2021-04-26 04:46:37
86,Guerrero Negro,27.9769,-114.0611,58.75,83,100,10.33,MX,2021-04-26 04:46:37
87,Sosva,59.1766,61.8558,44.71,57,21,12.21,RU,2021-04-26 04:46:38
88,Aklavik,68.2191,-135.0107,14.0,85,100,6.91,CA,2021-04-26 04:45:50
89,Alghero,40.5589,8.3181,48.2,100,75,5.75,IT,2021-04-26 04:46:38
90,Oakley,37.9974,-121.7124,51.8,71,1,16.11,US,2021-04-26 04:45:55
91,Santiago Del Estero,-27.7951,-64.2615,59.02,68,0,5.97,AR,2021-04-26 04:46:39
92,Matamoros,25.5333,-103.25,86.0,16,75,4.56,MX,2021-04-26 04:46:39
93,Kruisfontein,-34.0033,24.7314,65.05,48,100,1.88,ZA,2021-04-26 04:46:39
94,Los Llanos De Aridane,28.6585,-17.9182,66.2,68,90,2.3,ES,2021-04-26 04:46:40
95,Hun,29.1268,15.9477,58.42,71,9,8.03,LY,2021-04-26 04:46:40
96,Moron,-34.6534,-58.6198,61.0,97,7,3.87,AR,2021-04-26 04:42:17
97,Sao Filipe,14.8961,-24.4956,71.74,71,83,9.4,CV,2021-04-26 04:46:41
98,Aqtobe,50.2797,57.2072,46.4,87,40,6.71,KZ,2021-04-26 04:46:41
99,Saint-Francois,46.4154,3.9054,53.6,47,0,10.36,FR,2021-04-26 04:46:42
100,Vao,-22.6667,167.4833,74.43,71,46,15.84,NC,2021-04-26 04:46:42
101,Upernavik,72.7868,-56.1549,27.86,71,49,3.98,GL,2021-04-26 04:46:42
102,Westport,41.1415,-73.3579,53.6,76,75,6.91,US,2021-04-26 04:46:43
103,Dakar,14.6937,-17.4441,66.2,94,75,18.41,SN,2021-04-26 04:41:47
104,Lorengau,-2.0226,147.2712,84.06,71,94,1.45,PG,2021-04-26 04:46:00
